Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2026-03-23,0,13,0%,3.1
2026-03-24,0,16,0%,1
2026-03-25,0,23,0%,1.5
2026-03-26,0,33,0%,3.2
2026-03-27,0,23,0%,1.5
2026-03-28,0,33,0%,2.1
2026-03-29,1,23,4.35%,1.4
2026-03-30,0,25,0%,2.4
2026-03-31,0,15,0%,3.2
2026-04-01,0,20,0%,1.8
2026-04-02,0,11,0%,1.8
2026-04-03,0,14,0%,1
2026-04-04,0,26,0%,2.3
2026-04-05,1,38,2.63%,1.8
2026-04-06,0,23,0%,1.9
2026-04-07,0,24,0%,2
2026-04-08,0,21,0%,1.3
2026-04-09,0,22,0%,1.1
2026-04-10,0,20,0%,1.2
2026-04-11,1,31,3.23%,1.7
2026-04-12,2,26,7.69%,2.1
2026-04-13,0,16,0%,1.8
2026-04-14,1,18,5.56%,5.8
2026-04-15,0,25,0%,1.3
2026-04-16,0,22,0%,1.9
2026-04-17,0,25,0%,2
2026-04-18,0,35,0%,2.6
2026-04-19,0,31,0%,1.5
2026-04-20,0,20,0%,3.5
2026-04-21,2,22,9.09%,3.4
2026-04-22,0,28,0%,2
2026-04-23,0,24,0%,3.4
2026-04-24,2,22,9.09%,1.7
2026-04-25,2,20,10%,3.5
2026-04-26,0,25,0%,2
2026-04-27,0,21,0%,3.9
2026-04-28,2,11,18.18%,1.5
2026-04-29,1,30,3.33%,2.2
2026-04-30,2,29,6.9%,3.6
2026-05-01,2,19,10.53%,2.3
2026-05-02,7,36,19.44%,3.6
2026-05-03,7,51,13.73%,2.3
2026-05-04,2,16,12.5%,2.7
2026-05-05,0,13,0%,7.8
2026-05-06,3,40,7.5%,5.4
2026-05-07,1,13,7.69%,6.8
2026-05-08,2,24,8.33%,5.6
2026-05-09,1,35,2.86%,5.8
2026-05-10,1,34,2.94%,9.8
2026-05-11,2,28,7.14%,5.9
2026-05-12,0,29,0%,6.8
2026-05-13,0,31,0%,8.1
2026-05-14,2,37,5.41%,8.3
2026-05-15,0,25,0%,7.2
2026-05-16,13,50,26%,4.2
2026-05-17,14,69,20.29%,9.6
2026-05-18,16,70,22.86%,4.9
2026-05-19,22,65,33.85%,4.8
