Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Türkiye,112,1536,7.29%,3.47
Amerika Birleşik Devletleri,0,19,0%,15.37
Almanya,0,7,0%,12.43
Brezilya,0,4,0%,7.5
Hindistan,0,3,0%,11.67
İngiltere,0,2,0%,1.5
Colombia,0,2,0%,3
Irak,0,2,0%,3.5
Yunanistan,0,1,0%,1
İtalya,0,1,0%,1
Letonya,0,1,0%,1
Güney Kıbrıs Rum Yönetimi,0,1,0%,2
Venezuela,0,1,0%,4
Özbekistan,0,1,0%,5
Polonya,0,1,0%,7
İsveç,0,1,0%,10
Avusturya,0,1,0%,11
Hollanda,0,1,0%,14
Suudi Arabistan,0,1,0%,20
İsviçre,0,1,0%,58
Japonya,0,1,0%,60
Fas,0,1,0%,62
